Parsing hochiminh.geojson...
Loaded 3056 traffic signal nodes.

Building KD-tree...
KD-tree built in 0.34 ms.

Nearest traffic light to (10.7725, 106.6981):
  ID:        10315805798
  Location:  (10.7715858, 106.6985321)
  Distance:  112.1 m
  Query time: 0.0048 ms

--- All Nodes ---
ID              Latitude      Longitude     
2502891737      10.4388095    107.1620804   
2513649873      10.7212481    106.7011417   
2513649901      10.7208763    106.7015845   
2514481822      10.4938701    107.1891773   
2527488819      10.7702172    106.6943220   
2527497630      10.7310740    106.7205608   
2616958835      10.7711444    106.6930046   
2620587146      10.7772002    106.6279178   
2641093740      10.3451795    107.0798752   
2642383604      10.4642684    107.2105956   
2644320090      10.4039191    107.2308505   
2644320116      10.4247288    107.2218331   
2664205599      10.7795752    106.6949909   
2727011775      10.5827758    107.0583324   
2727011779      10.5826547    107.0583484   
2741516869      10.6347104    107.0482123   
2751152771      10.3505992    107.0779844   
2751158331      10.3428845    107.0774596   
2774798227      10.5881678    107.0583735   
2774798228      10.5880198    107.0583726   
2854562273      10.7621718    106.5851156   
2907818491      10.7767357    106.7027396   
2937933475      10.8830849    106.8004749   
2941425676      10.8879018    106.7756415   
2947957910      10.9125397    106.7970437   
2955347935      10.8717701    106.7690109   
3152632056      10.7978750    106.6441564   
3303840952      10.9011990    106.7119094   
3338020095      10.7540715    106.6869604   
3338020103      10.7541941    106.6869021   
3349899915      10.8536572    106.7513715   
3370353411      10.8136617    106.6326825   
3473324815      11.1291020    106.5241584   
3474054214      10.7828810    106.6981158   
3630715331      10.7477323    106.5848192   
3630715334      10.7475572    106.5849414   
3641844559      10.8192299    106.6902263   
3642303437      10.8192661    106.6896798   
3655114526      10.8204466    106.6307719   
3655114528      10.8203973    106.6306350   
3700550788      10.7992813    106.6802368   
3700550789      10.7993665    106.6804397   
3700972429      10.7628673    106.6422864   
3702692133      10.3755012    107.1134444   
3702692139      10.3758917    107.1133082   
3706475642      11.0259318    106.6544607   
3726316308      10.8196124    106.6903303   
3726316310      10.8207036    106.6943214   
3792257413      10.8754657    106.7589080   
3806430108      10.8262207    106.6803190   
3806809768      10.7564833    106.6331112   
3806809780      10.7592271    106.6341952   
4001093363      10.7922253    106.7528474   
4001606950      11.0262035    106.6542757   
4066304448      10.8019055    106.7458102   
4066470691      10.8488658    106.7740710   
4066470692      10.8489098    106.7740111   
4067989184      10.8208156    106.6942809   
4067989188      10.8197522    106.6902961   
4067989704      10.8191629    106.6897121   
4217007492      10.7670540    106.6424451   
4441523985      10.8287450    106.6843962   
4535777984      10.7564970    106.6335425   
4537174048      10.7627581    106.6522397   
4582930262      10.7427748    106.6431334   
4583485484      10.7442912    106.6508998   
4583485485      10.7441859    106.6509629   
4590957476      10.7689498    106.6377143   
4590957477      10.7690939    106.6376275   
4594381219      10.7447166    106.6487629   
4594381221      10.7430190    106.6432716   
4594693795      10.7646559    106.7010749   
4604903936      10.7712405    106.6872293   
4607612152      10.7418347    106.6340308   
4609314797      10.7693067    106.6945695   
4609356081      10.7518619    106.6771510   
4609802779      10.7670127    106.6942193   
4609802782      10.7566171    106.6853389   
4610643513      10.7710626    106.6936374   
4613915240      10.7441593    106.6509200   
4613915244      10.7444008    106.6508359   
4614188855      10.7542455    106.6584767   
4614188857      10.7547492    106.6582874   
4616029241      10.7559828    106.6663288   
4616051257      10.7564172    106.6663538   
4618427493      10.7522081    106.6774153   
4631178579      10.7528690    106.6719822   
4631390892      10.7567855    106.6695364   
4631390895      10.7565325    106.6696901   
4631562561      10.8462756    106.6441371   
4632222677      10.8498212    106.6649681   
4632272910      10.8514279    106.6561276   
4646989208      10.7563049    106.6664788   
4652422048      10.7591573    106.6339501   
4719951885      10.8269057    106.6797747   
4879063671      10.7915942    106.6617216   
4879063673      10.7918002    106.6623806   
4885662525      10.7904266    106.7814673   
4934947996      10.8489487    106.7743382   
4934947997      10.8488257    106.7742333   
4945688750      10.8403898    106.7162267   
5151366713      10.8384914    106.6799748   
5154367622      10.8500938    106.8134630   
5154367623      10.8503668    106.8137128   
5240704523      10.7705236    106.6583754   
5445180978      10.3632670    107.0936182   
5467207464      10.7804550    106.6983343   
5467431349      10.7929403    106.6532383   
5467448201      10.8019351    106.6365897   
5467448202      10.8015866    106.6367079   
5500064106      10.7638659    106.6977418   
5598917854      10.7710153    106.6729069   
5614661198      10.7629419    106.7832431   
5716917520      10.8344941    106.6643691   
5719227256      10.8287760    106.6733686   
5724654561      10.7991159    106.6803103   
5724654562      10.7991874    106.6802780   
5725018642      10.8049331    106.6665209   
5735781183      10.8524661    106.6606113   
5735791251      10.7671799    106.6998786   
5737781389      10.8343246    106.6072110   
5738226786      10.7936976    106.7183774   
